"Containers","Compute, Containers, Web Apps","","Amazon Elastic Compute Cloud (EC2)","Amazon Elastic Compute Cloud (Amazon EC2) offers the broadest and deepest compute platform, with over 750 instances and choice of the latest processor, storage, networking, operating system.","Use credits to access Amazon EC2 features in both Free and Paid plans. Free plan eligible instances include: T3.micro, T3.small, T4g.micro, T4g.small, C7i-flex.large, M7i-flex.large",""
"Compute","Compute, Containers, Web Apps","","Amazon EC2","Amazon Elastic Compute Cloud (Amazon EC2) is a web service that provides secure, resizable compute capacity in the cloud.","Use credits to access features in both Free and Paid plans. Free plan eligible instances include: T3.micro, T3.small, T4g.micro, T4g.small, C7i-flex.large, M7i-flex.large",""
"Compute","Compute, Containers, Web Apps","","Amazon Lightsail","Amazon Lightsail is an easy-to-use virtual private server (VPS) that offers you everything needed to build an application or website, plus a cost-effective, monthly plan.","90-day free trial with the Paid plan. The trial includes: Try the $5/mo, $7/mo, or $12/mo Linux/Unix plans with IPv4 address, Try the $9.50/mo, $14/mo, or $22/mo Windows plans with IPv4 address",""
"Compute","Application Integration, Compute, DevOps, Serverless, Web Apps","","AWS Lambda","AWS Lambda is a serverless compute service that lets you run code without provisioning or managing servers, creating workload-aware cluster scaling logic, maintaining event integrations, or managing runtimes.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 1,000,000 free requests per month, Up to 400,000 GB-seconds or 3.2 million seconds of compute time per month",""
"Compute","Compute","","Amazon Elastic Container Registry","Amazon Elastic Container Registry (ECR) is a fully managed container registry that makes it easy to store, manage, share, and deploy your container images and artifacts anywhere.","Use credits to access features in both Free and Paid plans, including: Container orchestrator integration, OCI and Docker support",""
"Compute","Compute, Networking and Content Delivery, Web Apps","","Elastic Load Balancing","Elastic Load Balancing automatically distributes incoming application traffic across multiple targets, such as Amazon EC2 instances, containers, IP addresses, Lambda functions, and virtual appliances.","Use credits to access features in both Free and Paid plans, including: Application Load Balancer, Network Load Balancer, Gateway Load Balancer",""
"Migration","Migration","","AWS Migration Evaluator","AWS Migration Evaluator builds a data-driven business case for migration to AWS","This always free service is on the Free and Paid plan.",""
"Migration","Migration","","AWS Application Discovery Service","AWS Application Discovery Service collects server specification information, performance data, and details of running processes and network connections","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these limits: 1,000 applications per account",""
"Migration","Migration","","AWS Migration Hub","AWS Migration Hub delivers a guided end-to-end migration and modernization journey through discovery, assessment, planning, and execution.","This always free service is on the Free and Paid plan. Organize resources into applications, obtain right-sized EC2 instance recommendations, and track the progress of your application migrations across multiple AWS and partner solutions.",""
"Migration","Migration","","AWS Application Migration Service","AWS Application Migration Service simplifies, expedites, and reduces the cost of migrating and modernizing applications.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: Migrate an unlimited number of servers at no charge (for up to 90 days per server)",""
"Migration","Database, Migration","","AWS Database Migration Service","AWS Database Migration Service helps you migrate databases to AWS quickly and securely.","Use credits to access features in the Free and Paid plan, including: Maintain high availability and minimal downtime during migration. Discover, assess, convert, and migrate your database and analytics workloads with automated migration.",""
